stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,4.28,0,0,0,0,0,0,0,0,0,0,2.14,9.63,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,5.35,0,0,32.12,0,4.02,0,1.34,0,0,0,0,0,0,0,0,1.34,20.08,0,6.69,0,0,2.68,0,1.34,2.68,0,0,0,1.34,1.34,1.34,0,0,0
3Month,0,2.56,1.28,175.97,0.32,0,0.64,0,0.32,2.88,6.4,0,14.4,12.16,1.28,4.48,4.16,41.59,14.4,8.96,3.2,0.32,1.28,0.64,1.6,0.32,0.32,0.32,0,1.28,1.92,0,4.48,1.6,5.12
22Month,0,12.57,1.09,21.87,0,0,0,0.55,0.55,2.19,12.03,5.47,56.31,2.19,0.55,3.83,2.19,8.2,15.31,15.31,0,3.28,0,0.55,1.64,0,0,0.55,0.55,0,0.55,5.47,2.19,0,3.83
