stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0
3Month,0,0.32,0.64,37.11,0.32,1.6,0.64,6.4,0.64,0.32,1.28,0.64,0.96,0.64,0.32,0.32,0,0.96,0.32,0.96,3.52,0,0.32,156.14,0.96
