stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,0,0,0,0,0,0,0,0,0,1.07,22.47,0,1.07,0,0,0,0,5.35,3.21,0,5.35,0,2.14,0,0,0
21Day,1.34,0,24.09,0,1.34,0,0,1.34,0,0,0,0,0,0,13.39,4.02,18.74,0,0,0,0,4.02,8.03,5.35,5.35,1.34,12.05,0,0,1.34
3Month,0,0.32,14.4,0.32,0,0.32,0.32,1.28,0.32,19.52,1.28,0.32,1.28,8.96,7.04,5.44,9.6,2.56,0,2.24,0.32,0.64,0.32,3.2,0.64,1.28,0.32,0.32,0.32,0.64
22Month,0,0.55,1.09,0,0,0,0,0.55,1.09,8.2,0,0,0.55,1.09,0.55,2.73,2.19,0,0.55,0,0,0,0,7.11,0,0,0,0.55,0,0
