stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,1.07,0,3.21,0,0,0,0,14.98,3.21,0,0,3.21,0,1.07,2.14,3.21,2.14,0,0
21Day,1.34,0,0,1.34,0,4.02,4.02,1.34,0,0,4.02,0,1.34,0,0,1.34,2.68,8.03,0,0,1.34,0,2.68,2.68,1.34,0,2.68,0,8.03,1.34,2.68,2.68,0,0
3Month,0,0,0.32,3.2,0,0,0,0,0,0,26.88,0.32,0,2.24,0,0.96,0.64,1.6,0.32,0,0,0.96,0.32,0.32,0,0.32,0,0.64,86.07,0.32,0,0,5.76,0.64
22Month,0,0.55,0,1.64,0.55,0,0.55,0,1.09,2.19,38.81,0,0.55,3.28,0,1.09,1.09,0.55,0,2.73,0,0,0,0,0,0.55,0.55,0,118.62,0.55,4.92,0,0,0.55
