stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,3.21,4.28,0,9.63,0,1.07,0,0,0
21Day,0,9.37,0,0,0,0,0,0,0,1.34,0,0,8.03,0,0,0,0,0,0,1.34,5.35,0,0,0,0,0,0,1.34
3Month,0.32,18.56,0.32,0.32,4.16,2.88,0,11.2,1.28,0.32,3.2,0.64,3.2,2.88,1.6,0.96,0,1.6,0.96,0.64,0,0.64,0.96,3.2,0,0.32,1.28,0.64
22Month,0,4.92,0,0,1.09,3.28,0.55,32.25,1.64,0,1.09,0,0,2.73,0.55,0,1.64,0.55,0,0,0,0,0.55,1.64,0,0,0,0.55
