stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,57.21,0,0,4.09,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,1.07,10.7,0,89.86,27.81,0,1.07,7.49,0,4.28,1.07,0
21Day,1.34,1.34,0,1.34,1.34,1.34,5.35,1.34,41.49,8.03,1.34,0,1.34,1.34,1.34,1.34,1.34
