stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0.32,3.84,0.32,0.96,7.36,0,3.2,4.16,0,2.88,0.96,0.96,130.54,0.64,0,0.96,0.32,0.64,0.32,1.92,1.6,0,0.64,0.32
22Month,0.55,1.64,0,2.19,0.55,0,45.92,2.73,17.49,2.19,2.73,3.28,1.64,0,114.8,0.55,0.55,0,0,0,0,0.55,0,0.55,0,5.47
