stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,0,4.09,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,1.07,0,5.35,2.14,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,4.02,1.34,1.34,0,0,0,0,0
3Month,1.6,0,0.32,0.32,1.28,1.28,0.32,0.32,0.32,0.32,0.32,0,0,0,30.08,0.32,0.96,9.92,0.64
22Month,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,11.48,0,0,0,0
