stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,46.85,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,2.88,1.28,88.31,5.44,5.12,0,29.12,11.52,0.32,13.44,3.84,10.56,4.16,8.64,2.56,0.32,2826.75,3.52,0.96,2.88,1.6,0,1.28,6.4,4.8,3.2,0.64,1.6,2.24,6.4
22Month,0,6.01,6.56,54.12,3.28,8.75,4.92,65.6,7.11,0,15.31,0.55,0.55,2.73,10.39,0,2.73,2369.2,0.55,0,0,2.73,0.55,0.55,0,4.37,1.09,0,0,0,2.19
