stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,23.54,0,0
21Day,1.34,0,1.34,0,2.68,0,0,0,1.34,0,88.34,0,1.34
3Month,0,0.32,0,0.64,2.24,0,0.32,0,0,0,4.16,0.32,0
22Month,0,0,0,0,2.19,0.55,0,0.55,0,0,0,0,0
