stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,8.17,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,3.21,0,48.14,10.7,6.42,4.28,0,3.21,0,0
21Day,1.34,1.34,1.34,0,0,0,0,1.34,0,0,1.34,0,37.48,5.35,2.68,0,0,0,0,0
3Month,0,0,0.64,0,0,2.56,1.28,0.32,0,0,0,0.64,17.6,0,0,0,0.32,0,0.32,0.32
22Month,0,0,0.55,0,0.55,2.73,0,0,0.55,0,0,0.55,3.28,0,0,0,0,0,0,0
