stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,138.94,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,5.35,20.33,0,4.28,0,4.28,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,9.37,0,2.68,0,9.37,0,0
3Month,0,0,0.32,0,0,0,0.32,0,0,0,0.32,0,0,0.32,0,0,0.32,0.64,0
22Month,0,0.55,1.09,0.55,2.73,3.28,0,0.55,0.55,0.55,0,0.55,0,4.37,0.55,0.55,0,0,0.55
