stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,8.17,0
72hpf,1.07,0,0,4.28,1.07,0
21Day,1.34,1.34,0,5.35,0,0
3Month,0.32,0.64,0,0,0,0.32
22Month,0,5.47,0.55,0,0,0
