stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,2.14,53.49,0,0,0,0,2.14,1.07,0,0,0,0,7.49,0,0
21Day,0,1.34,38.82,0,0,0,0,0,0,6.69,18.74,0,0,0,1.34,2.68,0,0,0,0,1.34,32.12,0,2.68
3Month,0,0,14.4,0.32,0.64,1.92,1.28,0,0.32,0.32,0.32,0.32,0.96,0.64,0,0,0,0.32,0,1.28,0,0.32,0.64,0.32
22Month,1.09,0,0.55,0,0.55,10.39,0.55,0,0.55,0,0.55,0.55,0.55,0,0,0,0,0,0.55,0.55,0,0,0,0
