stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,20.43,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,23.54,4.28,0,17.12,78.09,18.19,0,0,0,0,0,0,0,6.42,49.21,3.21,21.4,0,2.14,0,1.07,3568.82,56.7,2.14,6.42,34.23,0,0,23.54,0,0,9.63,0,0
21Day,21.42,1.34,0,38.82,87,42.83,5.35,0,0,9.37,1.34,12.05,4.02,4.02,25.43,10.71,44.17,0,0,1.34,0,1714.66,22.76,1.34,6.69,16.06,42.83,0,22.76,8.03,16.06,0,0,8.03
3Month,0,0.32,0,2.56,3.2,0,0.32,0.32,0.64,5.76,0.32,0,2.24,0.32,0.32,0.32,1.28,0.64,0,0.32,0,8.32,0,0.96,0.64,0,0.32,1.28,0.32,0,0,0,0.64,0.32
22Month,0,0,1.09,3.28,2.19,0,0,1.09,0.55,30.61,0.55,0,3.28,1.09,1.64,2.19,5.47,0,0,0,0,19.13,0.55,2.19,1.09,0,0,3.28,2.19,0,0,0,0,0.55
