stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,1.07,0,0,0,0,0,172.24,0,2.14,1.07,0,8.56,2.14,0,0,0,0,0,0,0,0
21Day,0,38.82,0,0,0,1.34,0,0,159.29,1.34,4.02,0,0,0,0,0,1.34,2.68,0,0,0,2.68,0
3Month,0,49.27,0,0.32,1.92,1.28,0.96,1.6,0.32,0.32,0.64,0,0.32,0,0,0.32,0,0,5.76,1.28,0.32,0,0.64
22Month,0,0,0,0,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0
