stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,44.95,0,0,0,0,0,0,0,0
72hpf,355.17,3.21,0,0,2.14,1.07,0,0,0,0,0,0,2.14,0,3.21,0,0,0,21.4,8.56,5.35,0,4.28,0,0,1.07,0,0
21Day,95.04,0,0,4.02,0,2.68,0,0,0,0,1.34,1.34,0,0,5.35,0,0,0,9.37,4.02,0,0,0,1.34,1.34,0,0,2.68
3Month,1.28,0.64,0.32,1.6,0,0,0,0.32,0,3.52,0,2.88,0.64,0.64,1.6,0.64,0.32,0.64,0,0,1.28,4.48,0,0,0,0,19.84,0.64
22Month,0,0,0,0,0,0,0.55,2.19,12.03,14.21,0,11.48,1.09,0.55,1.09,0.55,0,0,0,0,0,1.64,0,0,0,0,0,0
