stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,12.26,0,4.09,0,0,0
72hpf,0,0,0,4.28,2.14,0,0,1.07,0
21Day,1.34,0,0,4.02,0,0,0,0,0
3Month,0,0.32,0,0,0,0,0.32,0,0.32
22Month,0,0,0.55,0,0,0,0,0,0
