stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,1.07,1.07,1.07,0,2.14,0,0,0,0
21Day,2.68,1.34,0,1.34,0,0,1.34,0,10.71,2.68,2.68,1.34,2.68,0,0,2.68,2.68,0,0,0,0,0,0,0
3Month,0.64,5.44,0.64,5.12,0.32,0,2.88,0.96,24.64,0.64,0.96,0.96,0.96,0,0.32,0,0,0.64,0,0,1.6,0.32,0,0.32
22Month,4.92,12.03,0,17.49,1.64,0.55,15.85,0.55,108.78,0.55,1.09,1.09,1.09,0.55,1.09,0.55,0,2.73,0.55,0.55,16.4,0,1.09,0
