stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,12.26,12.26,20.43,8.17,0,0,4.09,8.17,4.09,36.78,0,0,16.35,265.62,8.17,0,0,0,8.17
72hpf,1.07,0,2.14,0,0,0,2.14,1.07,0,5.35,0,0,11.77,32.09,1.07,0,0,0,1.07
21Day,0,0,1.34,0,0,1.34,0,1.34,0,2.68,0,0,1.34,5.35,0,2.68,0,1.34,0
3Month,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0.32,0,0,0.96,0,0
22Month,0,0,2.19,0,2.73,0,0,0,0.55,1.09,0,0.55,0,0,0,0,1.09,0,0
