stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,2.88,1.28,0,0,2.24,0.96,1.92,0,0.96,0,0,0.32,0.32,0,0.32
22Month,2.19,0.55,0.55,1.09,8.75,0,2.19,1.09,0,0.55,0,0,0,0.55,1.64
