stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.84,2.14,0,0,1.07,0,0,1.07,9.63,26.74,0,0
21Day,2.68,0,0,0,0,0,0,2.68,1.34,1.34,0,0,10.71,2.68,0,1.34,1.34,1.34,0,0,85.67,315.89,0,1.34
3Month,1.6,0.32,0.32,2.24,0.32,0.96,0.32,0.32,0.32,0,0.32,0.32,0.32,0,0.64,0,0,0.32,14.08,0,0.32,0,71.67,0
22Month,0.55,0.55,0,24.6,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,1.09,0.55,0,0,0,0
