stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,28.6,0,0,0,0,4.09,0,0,0,0,4.09,4.09,4.09,8.17,0,0,0,4.09,89.9,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,7.49,1.07,0,0,1.07,0,0,0,0,0,1.07,32.09,0,5.35,2.14,0,0,14.98,6.42,0,0,0,1.07,0,1.07,0,1.07,0,0,0
21Day,0,0,1.34,42.83,0,0,0,0,0,0,0,2.68,0,1.34,22.76,2.68,5.35,1.34,0,0,5.35,1.34,0,0,4.02,2.68,1.34,0,1.34,0,0,0,0
3Month,0,0.64,0,4.16,0,5.12,0.64,0,0,10.56,1.28,0.32,2.88,0.96,2.56,1.6,1.92,0,0.32,1.28,0.64,0,0.64,0,0,0.32,5.44,0,0,0,0.32,2.88,1.28
22Month,0,1.09,2.19,14.21,0,3.83,1.64,2.19,0,38.27,1.09,1.09,13.67,0,0.55,7.11,2.73,5.47,0,0.55,0.55,0,0.55,0.55,0,0,2.19,2.19,0,0.55,0.55,0,1.09
