stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,9.63,0,0,0,1.07,1.07,0,0
21Day,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,1.34,0,0,0
3Month,0,0.32,0.32,1.28,0.64,0,0.32,0,0,0,0,0,0,0,0.64,0.32
22Month,0.55,0,1.09,12.03,0.55,0.55,0,0.55,0,0,0,0.55,0,0,0,0.55
