stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,12.26,0,8.17,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,2.14,6.42,0,0,0,0,8.56,0,0,0,2.14,0,0,2.14,0,0,0
21Day,1.34,0,1.34,9.37,1.34,0,0,1.34,0,0,0,6.69,1.34,5.35,0,0,5.35,1.34,0,0,0,1.34,0,1.34,0,0,0
3Month,0,0.32,0,20.48,0.32,0,1.28,3.52,0.64,2.56,0,1.6,1.28,0.96,1.6,0.32,0,0,0.64,0.64,0,0,1.92,0,0.64,19.2,1.92
22Month,0,0,0,1.09,0,1.64,0.55,4.92,0,2.19,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
