stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,7.49,1.07,1.07,0,0,0,0,1.07,3.21,0,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,0,0,0,4.02,4.02,0,0,0,1.34,0,1.34,1.34,5.35,0,0,0,6.69,4.02,0,0,0,0,4.02,1.34,0,1.34,0,5.35,0,1.34,0,0,1.34,0,0,6.69
3Month,0,0.64,0.32,8,0,0.64,0.32,1.28,6.72,0.32,54.71,6.72,2.88,5.12,0.64,3.84,7.36,3.52,0.64,0,1.6,1.92,0,0,0.64,0,0,0,1.6,2.56,0.96,0,0,0.96,0.96,6.08
22Month,0.55,0.55,1.64,7.65,0,0,0,2.19,15.85,1.09,589.29,3.83,2.19,8.2,1.09,0.55,12.03,6.01,0,12.03,1.64,0,1.09,0,1.64,0.55,2.73,0.55,1.09,4.92,1.09,1.64,0.55,0.55,0,4.92
