stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,213.96,0,2.14,0,0,0,0,0,0,0,0,0,0,10.7,14.98,0,0,0,0,3.21,6.42,8.56,0,0,0,0,0,0,0,4.28,0,0,0,0,0
21Day,69.6,9.37,6.69,10100.57,9.37,293.14,0,32.12,4.02,84.33,0,37.48,17.4,152.59,28.11,175.35,3845.61,78.97,429.67,1.34,0,123.15,0,572.89,132.51,10.71,4.02,0,167.32,191.41,0,0,26.77,20.08,145.9,5.35,8.03,25.43
3Month,0.32,0,0,8,0,0,0,0,0.96,0.64,0,0,0.32,0,0,0,0.32,0.32,0,0.32,0,0.32,0,0,0,0,0.32,0,0,0,0,0.64,0.32,0,0,0,0,0
22Month,3.83,20.23,3.83,514.4,0,0,3.28,1.09,13.67,240.53,9.84,133.93,4884.36,6.56,14.21,3.28,9.84,1390.69,40.45,0,14.76,3.28,1.09,0.55,0.55,2.73,15.31,2.19,3.83,2.73,2.73,2.19,6.01,2.73,0,0.55,1.64,24.6
