stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,12.26,0
72hpf,0,0,0,1.07,1.07,1.07,0
21Day,0,1.34,0,0,1.34,0,1.34
3Month,0.64,0,0.32,0,0,0,0
