stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,85.81,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,103.77,0,2.14,0,0,1.07,1.07,0,0,2.14,1.07,1.07,1.07,0,0
21Day,24.09,0,0,5.35,0,0,0,0,4.02,1.34,0,0,0,1.34,0
3Month,0.64,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0
22Month,19.68,0.55,0,0.55,2.19,0.55,0,0,0,0,0,0,0,0,0.55
