stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,12.26,0,73.56,4.09,0,0,0,4.09,0,0,0,0,0,0,24.52,114.42,0,0,0,0,40.86,943.96,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,4.28,0,14.98,3.21,2.14,0,0,0,0,0,2.14,0,11.77,18.19,0,29.95,0,0,1.07,1.07,133.72,93.07,0,2.14,17.12,2.14,14.98,1.07,0,2.14,0,0,0
21Day,2.68,1.34,1.34,5.35,1.34,0,0,0,0,0,1.34,2.68,0,2.68,0,2.68,16.06,0,0,2.68,0,18.74,10.71,0,1.34,10.71,2.68,1.34,0,1.34,0,0,0,0
3Month,0,0,0,4.16,0.32,0,0.32,0.32,0,1.28,0,0.96,1.28,0.32,0.96,0.96,0.32,0.32,0,0,0,0,0,0.32,0,0,16,0,0,0,0,0.32,2.24,1.28
22Month,0,1.09,0,2.19,0,0,0,1.09,0,14.21,0,0,3.83,0,0,2.73,5.47,0.55,0.55,0,0,0,0,0.55,2.19,0.55,2.19,0,0,0,0,0.55,0,0
