stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,69.47,0,0,0,0,0,0,0,0,85.81,0,0,0
72hpf,35.3,18.19,29.95,7.49,26.74,0,1.07,0,1.07,0,0,0,10.7,70.61,7.49,73.82,0,1.07,4.28,0,6735.41,424.71,3.21,3.21,67.4,0,0,31.02,236.42,88.79,106.98,0,0,0
21Day,13.39,0,33.46,0,18.74,5.35,1.34,0,2.68,0,6.69,2.68,1.34,17.4,6.69,28.11,0,0,4.02,1.34,903.51,109.76,1.34,2.68,16.06,21.42,0,5.35,123.15,303.85,91.02,0,0,13.39
3Month,0,0.32,1.28,0,0,0,0.32,0,1.92,0.32,0,1.28,0.32,0.96,0.32,0.32,0.32,0,0,0.64,10.24,1.92,0,0.32,0,0,1.28,0.32,0.96,0.32,2.24,0.32,17.6,0.32
22Month,0,1.09,0.55,0,0,0,2.19,0.55,7.65,0.55,0.55,0.55,0,0,1.09,1.09,0,0.55,0,0,3.28,0,0,0,0,0,1.64,1.64,80.36,0.55,3.83,0.55,0,0.55
