stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,57.21,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,13.91,3.21,0,5.35,0,8.56,0,0,0,0,0,0,0,0,4.28,12.84,0,8.56,0,0,823.74,128.37,0,13.91,10.7,0,0,36.37,8.56,2.14,0,0,0
21Day,4.02,0,0,5.35,0,5.35,1.34,0,1.34,0,0,0,1.34,2.68,0,5.35,0,10.71,0,1.34,248.97,42.83,1.34,8.03,2.68,8.03,0,26.77,8.03,6.69,0,0,2.68
3Month,0.32,0,0,0.32,0.64,0,0,0.32,0.32,0,1.6,0.64,0.32,0.64,0.64,3.52,0.64,5.12,3.84,0.32,9.28,0.96,0.32,0.96,0.96,0.64,0.64,2.24,0.32,0,1.6,0.32,0
22Month,0,0,0.55,2.19,1.09,0,0,0,1.64,2.19,6.01,0,0,2.19,0,3.28,1.64,9.29,3.28,0.55,9.29,0,1.09,2.19,0.55,0,3.28,1.64,25.69,0,0.55,0,0
