stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,3.21,2.14,0,0,0,0
21Day,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.96,0.32,12.16,0.32,15.04,1.28,1.28,0,0.32,12.8,0,0,0.32,0.32,0,0.64,0.64,0.32,10.88
22Month,0.55,0,10.39,2.19,1.09,2.19,0.55,1.09,0,6.01,0.55,1.09,0,0,0,0,0,0,2.19
