stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,24.52,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,4.28,25.67,0,5.35,0,0,60.98,2.14,1.07,5.35,0,0,0,2.14,0,0,0
21Day,0,0,1.34,0,0,1.34,0,0,0,1.34,0,5.35,0,1.34,32.12,1.34,1.34,4.02,0,0,1.34,1.34,0,0,0
3Month,0,0,8,0.64,0,1.28,0.32,0.32,0,3.2,0.32,4.16,0.32,0.32,0.32,1.28,0,0,3.52,0.64,0,0.96,1.6,0.64,0.32
22Month,0,0.55,1.64,0,1.64,4.92,0,0.55,0,0,1.09,0.55,0,0,1.09,0,0,0,7.65,2.19,0,0.55,0,0,0
