stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,53.12,0,0,0,0,12.26,0,0,0,4.09,8.17,4.09,118.51,0,0,0,98.07,2366.03,0,0,16.35,0,0,0,0,0,4.09,0,0,0
72hpf,16.05,4.28,8.56,5.35,4.28,0,0,0,0,0,0,0,10.7,0,68.47,0,0,0,633.32,327.36,1.07,11.77,38.51,0,0,37.44,1.07,0,5.35,0,0,0
21Day,5.35,0,6.69,0,2.68,0,0,0,1.34,0,0,0,2.68,1.34,34.8,0,0,0,113.78,52.2,0,4.02,13.39,4.02,0,10.71,0,2.68,0,0,0,2.68
3Month,0,0.32,5.12,0,0,0.64,0,0,2.56,0.32,1.92,0,3.2,1.28,0.64,0.64,0,0.32,0.32,0.64,0,0.64,0,0.32,2.24,0,0,0,0,0.64,3.2,1.28
22Month,0,0,0,0,0,1.09,1.09,0,15.31,1.64,2.19,0,1.09,0,0.55,0,0.55,0,0,0,0.55,0,0,0,4.92,0,0,0,0,0,0,0
