stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0,4.09,0,102.16,0,0,0,0,40.86,1001.17,0,0,0,0,0,0,0,16.35,0,0
72hpf,35.3,3.21,0,4.28,0,13.91,0,0,0,0,0,0,0,6.42,22.47,2.14,28.88,0,1.07,2.14,1.07,1637.85,478.2,1.07,65.26,0,0,29.95,1.07,3.21,21.4,0,0
21Day,16.06,0,1.34,12.05,1.34,21.42,0,1.34,0,5.35,1.34,2.68,2.68,1.34,13.39,2.68,69.6,0,0,1.34,0,789.73,210.15,2.68,69.6,30.79,0,28.11,4.02,2.68,8.03,0,2.68
3Month,0,0.32,0,2.24,0.64,0,0.32,0,0.32,3.52,0.32,0,1.28,0.32,0.32,0.96,21.44,0.96,0,0.64,0.64,23.04,3.52,0.32,0.32,1.28,1.28,7.36,0,0,6.08,0.32,0.32
22Month,0,0.55,0,0.55,0,0,0,0.55,1.64,11.48,1.64,0,1.64,0,0,0,9.29,0,0.55,0,0,6.01,0.55,0,0,0.55,1.64,15.31,0,0,0.55,0,1.09
