stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,485.69,3.21,1.07,0,0,0,0,0,2.14,2.14,1.07,2.14,0,0,1.07,36.37,22.47,0,1.07,6.42,0,0,2.14,0,0
21Day,0,0,0,1.34,92.36,0,0,0,0,0,1.34,0,1.34,2.68,0,9.37,0,0,0,5.35,2.68,0,0,2.68,4.02,0,1.34,0,0
3Month,0.32,0,0.32,4.16,35.51,0,0,0.96,1.28,4.48,0,1.28,0.32,2.88,0.32,7.68,1.92,1.28,0.64,0,0,0.64,0,0,0,4.8,1.92,0.64,12.8
22Month,0,0.55,0,1.09,31.71,0,0,1.09,5.47,1.09,0,2.73,0,0,1.09,1.64,1.09,0,0,0,0,0,0.55,0,0,2.19,0,0,0
