stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,4.28,2.14,1.07,0,0,0,0
21Day,0,0,2.68,0,1.34,0,0,1.34,0,2.68,0,0,1.34,0,5.35,0,0,1.34,1.34,0,0
3Month,0,0.64,2.88,0.32,0.64,3.84,1.6,0,0.64,0,0.64,0,0.32,0.32,0,0,0,0,2.56,3.2,0.32
22Month,0,0,0,0,0.55,1.09,0.55,0,0.55,0,0.55,0.55,1.09,0,0,0,0,0,0.55,0,0.55
