stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,32.69,8.17,0,49.04,4.09,0,0,0,24.52,0,0,0,0,4.09,69.47,24.52,122.59,0,0,0,24.52,543.49,0,0,36.78,0,0,0,8.17,0,0
72hpf,2.14,0,0,2.14,1.07,2.14,0,0,0,1.07,0,0,0,0,39.58,0,1.07,0,0,0,6.42,2.14,0,0,1.07,0,2.14,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.96,0,0,0.32,0
22Month,0,9.84,1.09,8.2,0,0,6.01,5.47,0,67.24,7.65,0.55,1.64,0.55,0.55,3.28,7.11,3.28,3.28,1.09,0,0,1.09,387.58,0,0,0,1.64,0,0,2.19
