stage,Epithelial_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
24hpf,44.95,4.09,44.95,0,0,28.6,0,0,0
72hpf,0,2.14,9.63,0,1.07,0,0,0,0
21Day,0,0,2.68,1.34,0,0,1.34,0,0
3Month,0,0,0,0,0,0,0,0.32,0.64
