stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,1.07,2.14,0,0,0,0,0,0,0,0,0,1.07,5.35,0,9.63,0,0,254.61,160.47,0,3.21,5.35,0,0,1.07,3.21,0,1.07,0,0,0
21Day,1.34,6.69,0,4.02,0,0,0,0,0,1.34,0,2.68,1.34,0,4.02,5.35,6.69,0,0,109.76,137.87,0,4.02,2.68,6.69,1.34,16.06,6.69,1.34,0,0,0,1.34
3Month,0.32,4.16,0.96,0,0.32,0,0.64,0,0,3.52,1.28,0,1.6,0,0.64,0.96,5.12,0,0,1.92,0.96,1.92,0.64,0,0.32,10.24,0.32,0,0,0.64,0.32,1.6,4.8
22Month,0,2.19,1.64,0,0.55,0.55,0.55,0.55,1.64,35.53,0,0,0.55,0,0,8.75,1.64,0.55,0.55,0.55,2.73,2.19,1.64,0,0,2.19,0.55,3.28,0,0,0,0,4.37
