stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,0,20.43,28.6,0,0,0,0,0,0
72hpf,4.28,3.21,1.07,1.07,0,0,0,0,0,0,0,0,2.14,0,23.54,0,0,0,1.07,6.42,4.28,53.49,0,0,2.14,2.14,0,0
21Day,2.68,0,1.34,2.68,1.34,1.34,0,0,2.68,0,0,0,1.34,0,88.34,0,0,2.68,0,4.02,0,44.17,2.68,0,0,4.02,1.34,0
3Month,0,1.6,4.48,0,0,0,0.64,0.32,2.56,0.32,0.64,1.92,2.24,0.96,5.44,0.32,0,0.96,0.64,0,0.32,0.32,0,1.6,0,0.32,1.28,0.64
22Month,0.55,4.37,4.92,0,0,0,0,1.09,8.75,1.09,0,0,0,0.55,3.83,0,0.55,0,0.55,0,0.55,0,0,0,0.55,0,0,0
