stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,21.4,4.28,0,0,1.07,0,1.07,0,1.07
21Day,1.34,0,0,0,0,0,0,0,2.68,16.06,2.68,0,4.02,9.37,0,0,0,0
3Month,0,0.64,0.32,0,0.96,0.96,0.32,0.32,1.6,0,0,0,1.6,0,0.64,0.64,0,0.32
22Month,0,0,0,0.55,0,2.73,0,0,0.55,0,0,0.55,2.73,0,1.09,0,0.55,0
