stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,17.12,0,1.07,0,2.14,0,0,0,1.07,0
21Day,0,2.68,0,0,0,0,0,0,6.69,0,2.68,0,5.35,1.34,0,0,0,0
3Month,0.32,7.68,0.32,0,0,3.2,0,0.96,0.32,1.28,0.96,0.32,0,0,0.32,1.28,0,0
22Month,0,1.64,0.55,1.09,0.55,8.2,0.55,0,0,0,0.55,0,0,0,0,0,0,0.55
