stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,0.64,0.96,5.76,0,0.96,5.44,2.24,3.2,0.96,0.64,0.64,0.64,0.64,0,0,0.32,0.32,0,0.32,13.76,0,0.96,134.06,0.96
22Month,0,0,0,0,0,1.09,0,0.55,0,0.55,0.55,0,0,0,0,0,0,0,0,1.64,0,0,0.55,0
