stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34,0,0,0
3Month,0,0.96,0.32,0,0.64,0.64,1.92,0.32,6.08,1.28,0,0,3.2,0,0,0.32,0.64,1.6,0,0,0.64,2.24,0
22Month,0.55,0.55,0,0.55,0,2.73,2.73,0,14.21,0,3.28,1.09,0,0,0,0,0,8.75,0.55,0,0,0,1.09
