stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,40.86,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,0,1.07,2.14,1.07,0,0,0,0,0,0,0,1.07,4.28,1.07,2.14,0,0,0,71.68,238.56,0,1.07,0,8.56,3.21,0,0,2.14,1.07,0,0,0,0
21Day,5.35,0,0,5.35,1.34,1.34,0,0,0,0,0,0,0,0,2.68,0,2.68,0,0,1.34,49.53,116.45,0,0,0,5.35,14.72,2.68,0,0,2.68,0,0,0,0
3Month,0,0,0,2.88,0,0,0.32,0.64,0,0,3.84,0.64,0.32,0,0.64,0.96,0.96,0.32,0,0.32,0.32,5.12,0.32,0.32,0,0,12.16,11.2,0.32,0,0,3.52,0.32,0.64,0.64
22Month,0,0,0.55,2.73,0,0,0,1.09,1.64,0,19.13,0.55,4.37,0.55,0,1.09,3.28,0,0.55,0.55,3.83,7.65,0,0,7.11,0,1.09,32.8,1.64,0,0,6.56,0,0,0
