stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,1.34,0,0,0,2.68,1.34,1.34,0,0
3Month,2.24,1.6,0.64,0,0.32,0.64,0.32,0,0,0,0,33.59,0,12.8,0.64
22Month,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
