stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0
3Month,0.32,12.8,0,1.92,0.64,1.92,0.96,3.52,1.28,5.44,1.6,0.32,0,0.64,0,0.32,0.32,0.96,0.64,1.6
22Month,0,1.64,0,0,0,2.73,0,2.19,0,0,0,0,0.55,0.55,0.55,0,0,0,0,0
