stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,16.35,0,0,0
72hpf,0,0,0,0,1.07,0,5.35,4.28,1.07,0,0
21Day,8.03,1.34,0,1.34,0,0,2.68,4.02,0,0,0
3Month,0.32,0,0.96,0,0,0.32,0,0,0,8.32,0.64
