stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,1.07,0,0,0,0,1.07,2.14,5.35,0,39.58,7.49,0,6.42,0,0,0,0,0,0
21Day,1.34,0,4.02,0,0,0,2.68,2.68,13.39,1.34,5.35,1.34,1.34,5.35,2.68,0,1.34,0,0,1.34
3Month,0,0,0.96,0,0.32,0.32,0,0,0,0,0,0,0,0,0,2.24,0,0,0.64,0.64
22Month,0,1.09,2.19,2.73,0,0.55,0,0.55,4.92,0,0,0,0,0.55,0,1.09,0,0.55,0,0
