stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,19.26,1.07,0,2.14,0,0,0,0
21Day,0,0,0,1.34,2.68,0,4.02,0,0,0,0,0,5.35,0,0,0,1.34,0,0,0,0,12.05,0,0,1.34,0,0,0,2.68
3Month,0,0,0.64,75.51,0,0,0,1.28,7.36,0,6.72,4.16,0.32,3.52,1.28,7.36,4.8,3.2,0.32,1.28,0.96,92.47,0,0.32,0,0.64,2.56,0.32,3.2
22Month,0.55,2.19,0,6.56,0,1.09,0.55,0,16.95,0.55,28.43,3.28,2.73,2.19,1.09,0.55,6.01,4.37,0,0,0,63.41,0,0.55,0.55,0,6.56,0,2.19
