stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,1.07,0,0,0,2.14,0,51.35,1.07,1.07,0,23.54,24.61,0,0
21Day,1.34,1.34,1.34,1.34,0,0,0,0,6.69,4.02,2.68,2.68,0,57.56,82.99,0,0
3Month,0,0.32,0,0,0,0.32,0.32,0,1.28,0,0,0,0.64,0,0,0.64,0.32
22Month,1.09,0,0,0,4.92,0,0,0,1.64,0,0.55,0,0.55,0,0,0,0
