stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,8.17,0
72hpf,0,0,0,2.14,0,2.14,1.07,2.14,1.07
21Day,1.34,0,0,2.68,1.34,0,0,0,0
3Month,0.96,2.56,0,0.32,0.32,0,0.32,0,0
22Month,1.09,4.37,0.55,0,0,0,0,0,0
