stage,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell
21Day,0,0,1.34,0,0,0,0
3Month,0,0,0,0.32,0.32,0.32,0.32
22Month,0.55,0.55,0,0,0,0,0
