stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,392.29,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,32.69,0,0,0,0,8.17,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,2686.25,1.07,0,13.91,2.14,14.98,0,0,1.07,0,0,0,0,0,4.28,28.88,5.35,26.74,0,1.07,0,0,121.96,55.63,1.07,29.95,0,0,5.35,0,3.21,0,0,0
21Day,965.08,0,0,24.09,1.34,9.37,4.02,0,1.34,0,9.37,0,6.69,4.02,1.34,9.37,6.69,40.16,0,0,4.02,0,29.45,17.4,1.34,16.06,14.72,4.02,4.02,13.39,0,0,0,6.69
3Month,1.92,0,0.64,1.28,0,0,0.32,0.32,0,0.64,1.92,0.64,0,0.32,0,0,0.32,0.96,0.32,0,0.32,0.32,0,0,0.32,0,0,29.44,0.32,0,0.96,0.32,5.12,0.64
22Month,1.09,0.55,0,1.09,0,0,0,0,0,0,7.11,0,0.55,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0,26.79,0,0,0,0,0,0
