stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,16.35,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,1.07,0,0,0,0,0,0,0,0,1.07,4.28,1.07,8.56,1.07,1.07,192.56,13.91,3.21,0,3.21,0,0,3.21,0,1.07,0
21Day,4.02,0,0,12.05,1.34,0,0,0,0,0,0,0,1.34,1.34,2.68,0,2.68,6.69,0,0,54.88,1.34,1.34,0,1.34,2.68,0,1.34,0,1.34,0
3Month,0,0.32,0.32,2.56,0,0,0.32,0,0.32,0,6.08,0.32,0,0.64,0.96,1.6,0.32,0,0,0.32,0.32,0,0.64,0,0,0,0.96,0,0,0,0
22Month,0,0.55,0,3.28,0,0,0,0.55,1.64,1.64,47.01,0,0.55,0.55,1.09,0.55,1.09,0,0.55,0,0,0,2.73,0.55,0,0,1.64,0.55,0.55,0,0.55
