stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,6.69,0,0,0,0,1.34,0,2.68,0,0,0,2.68,0,1.34,0,0
3Month,0,0.32,2.88,0,0.64,1.28,1.6,6.72,1.28,0,1.6,0.96,0.96,1.28,0,0.32,0,0.32,0.32,0.32,0,0.32,0,0,13.44,0,364.74,0.32
22Month,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0.55,0.55,0,0.55,0,0,0,0,0.55,0.55,0.55,7.11,0,2.73,0
