stage,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,4.09,0,0
72hpf,1.07,0,0,0
21Day,1.34,0,2.68,0
3Month,0,0,0,0.32
