stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,3.21,0,2.14,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,4.02,0,0,1.34,1.34,0,1.34,0
3Month,0,0,1.28,0.32,0.32,0,0.32,0,0.64,0.64,0.64,0.32,0.32,3.52,0.96,0.32,0,0,0.32,0,0.64
22Month,0,1.09,2.73,0,0,0.55,0.55,1.09,13.12,0.55,0.55,0.55,0,1.09,0,0.55,0,0,0,0,0
