stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,0,2.56,0.32,0,0.96,0.32,0,2.88,0.96,0.32,0.32,0.64,1.92,0.32,0.32,0.32,0.32,0,0.32,0,0,1.28,1.6,5.76
22Month,0,5.47,0.55,2.73,0.55,1.09,1.64,15.31,4.92,26.79,9.84,8.2,1.64,0,23.51,1.64,0,0.55,0.55,1.64,0,0.55,1.64,1.64,0,14.76
