stage,Granulocyte,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
72hpf,0,13.91,0,2.14,2.14,1.07
21Day,0,4.02,1.34,0,4.02,5.35
22Month,0.55,0,0,0,0.55,0
