stage,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,20.43,0,0,0,0,0
72hpf,0,0,0,0,4.28,0,1.07,0,0,0
21Day,0,0,0,0,9.37,0,0,0,0,1.34
22Month,0.55,4.37,2.73,0.55,44.83,0.55,0,0.55,0.55,0
