stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,155.28,69.47,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,17.12,2.14,0,10.7,9.63,0,0,0,0,0,0,0,0,4.28,17.12,3.21,12.84,0,2.14,0,2111.77,56.7,4.28,2.14,0,13.91,0,0,7.49,0,1.07,3.21,0,0
21Day,1.34,1.34,0,5.35,4.02,0,0,0,0,1.34,1.34,2.68,0,0,8.03,1.34,2.68,0,1.34,0,293.14,1.34,1.34,0,0,1.34,5.35,0,1.34,2.68,1.34,1.34,0,1.34
3Month,0,0.32,0.64,4.48,0,0.32,0,0.96,0,15.36,1.6,0,0.96,0.32,1.6,1.28,2.24,0,0,0.32,59.19,1.28,1.92,0,0,0,0.64,0.96,0,0,0,0.32,0.32,0.32
22Month,0,1.09,0,2.19,0,0,1.64,2.19,0.55,24.05,1.09,0.55,2.73,0,0,1.64,2.19,1.64,0,0,19.13,1.09,2.73,0.55,0.55,0,0,14.76,0.55,0,0,0,0,2.19
